KOD;NAZEV;VUSC_KOD;KRAJ_1960_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3810;Vsetín;141;38;CZ0723;10.12.2015 00:00:00;;11.04.1960 00:00:00
3712;Vyškov;116;37;CZ0646;28.01.2016 00:00:00;;11.04.1960 00:00:00
3705;Zlín;141;37;CZ0724;10.12.2015 00:00:00;;11.04.1960 00:00:00
3713;Znojmo;116;37;CZ0647;14.12.2015 00:00:00;;11.04.1960 00:00:00
3809;Šumperk;124;38;CZ0715;17.02.2016 00:00:00;;11.04.1960 00:00:00
3714;Žïár nad Sázavou;108;37;CZ0635;30.11.2015 00:00:00;;11.04.1960 00:00:00
3501;Èeská Lípa;78;35;CZ0511;25.01.2016 00:00:00;;11.04.1960 00:00:00
3301;Èeské Budìjovice;35;33;CZ0311;10.02.2016 00:00:00;;11.04.1960 00:00:00
3302;Èeský Krumlov;35;33;CZ0312;10.02.2016 00:00:00;;11.04.1960 00:00:00
3510;Ústí nad Labem;60;35;CZ0427;20.01.2016 00:00:00;;11.04.1960 00:00:00
3611;Ústí nad Orlicí;94;36;CZ0534;08.01.2016 00:00:00;;11.04.1960 00:00:00

